question,answer
what are the symptoms of aids?,"Fever, Fatigue, Swollen lymph nodes, Rapid weight loss, Frequent infections, Skin rashes, Night sweats, Chronic diarrhea, Persistent cough, Memory loss, Depression, Neurological disorders"
what are the treatments for cerebral aneurysm?,"Observation and monitoring (for small, unruptured aneurysms), Endovascular coiling (placing coils in the aneurysm to block blood flow), Clipping (placing a clip on the base of the aneurysm to prevent it from rupturing), Surgical removal of the aneurysm"
what are the symptoms of high blood pressure (hypertension)?,"Headaches, Shortness of breath, Nosebleeds, Flushed face, Dizziness, Chest pain, Visual changes"
what are the treatments for liver cancer?,"Surgery to remove the cancer, Chemotherapy, Liver transplant"
what are the symptoms of prostate cancer?,"Frequent urination, especially at night, Difficulty starting or stopping urination, Weak or interrupted urine flow, Blood in urine or semen, Painful or burning urination, Painful ejaculation, Difficulty getting or maintaining an erection"
what are the treatments for spondylitis?,"Exercise, Medications, Surgery"
what are the symptoms of depression?,"Persistent feelings of sadness, anxiety, or emptiness, Loss of interest in activities that were once enjoyable, Difficulty sleeping or oversleeping, Changes in appetite or weight, Fatigue, Difficulty concentrating or making decisions"
what are the treatments for chronic kidney disease?,"Medications to control blood pressure and cholesterol levels, Dietary changes to manage potassium, sodium, and protein intake, Dialysis or kidney transplant in severe cases"
what are the symptoms of rheumatoid arthritis?,"Joint pain and stiffness, Swelling and tenderness in the joints, Fatigue"
what are the treatments for varicose veins?,"Compression stockings, Sclerotherapy, Laser treatment, Endovenous ablation therapy, Surgery"
what is tuberculosis?,"Tuberculosis (TB) is a bacterial infection caused by the Mycobacterium tuberculosis bacterium. It usually affects the lungs, but can also affect other parts of the body."
what are the treatments for dengue fever?,"Pain relievers, Fluid replacement therapy, Rest, Preventing dehydration"
what are the treatments for amyotrophic lateral sclerosis (als)?,"Medications to manage symptoms, Physical therapy and occupational therapy, Assistive devices to help with mobility and communication"
what are the treatments for influenza?,"Antiviral medications, Fever-reducing medications, Fluids and rest"
what is depression?,"Depression is a mood disorder that can affect a person's thoughts, feelings, and behaviors. It can lead to feelings of sadness, hopelessness, and loss of interest in daily activities."
what are the treatments for rectal cancer?,"Surgery, Radiation therapy, Chemotherapy, Targeted therapy"
what is crohn's disease?,"Crohn's disease is a type of inflammatory bowel disease that can affect any part of the gastrointestinal tract from mouth to anus. Symptoms include abdominal pain, diarrhea, and weight loss."
what are the symptoms of deep vein thrombosis?,"Swelling in the affected leg, Pain or tenderness in the affected leg, Warmth in the skin over the affected leg, Red or discolored skin over the affected leg, Shortness of breath"
what are the treatments for intervertebral disc herniation?,"Rest and activity modification, Physical therapy, Medications, Surgery"
what are the symptoms of leprosy?,"Skin lesions, Numbness or lack of sensation, Muscle weakness, Eye problems, Nosebleeds"
what are the treatments for blood clotting disorders?,"Blood thinners, Anticoagulants, Platelet inhibitors, Iron supplements (in some cases)"
what are the symptoms of haemophilus influenzae infection?,"fever, headache, stiff neck, fatigue, ear pain, difficulty breathing"
what are the treatments for hyperthyroidism?,"Antithyroid medication, Radioactive iodine therapy, Beta blockers"
what are the symptoms of cystic fibrosis?,"Persistent cough with thick mucus, Wheezing or shortness of breath, Poor growth or weight gain, Frequent respiratory infections, Salty-tasting skin, Difficulty with bowel movements"
what are the symptoms of aortic stenosis?,"Shortness of breath, Chest pain or discomfort, Fainting or lightheadedness"
what are the treatments for dental caries?,"Fillings to repair cavities, Crowns to cover damaged teeth, Root canal therapy to treat infections, Tooth extraction in severe cases"
what are the symptoms of chronic bronchitis?,"Persistent cough, Shortness of breath, Chest tightness"
what are the symptoms of wilson's disease?,"Fatigue, Abdominal pain, Jaundice, Tremors, Difficulty speaking or swallowing, Psychiatric symptoms (e.g. depression, anxiety, psychosis)"
what are the symptoms of alzheimer's disease?,"Memory loss, Difficulty completing familiar tasks, Language problems, Disorientation, Mood swings, Personality changes, Loss of motivation"
what are the symptoms of migraine headaches?,"Throbbing or pulsing pain on one side of the head, Sensitivity to light and sound, Nausea and vomiting, Blurred vision, Lightheadedness, Fatigue, Irritability"
what are the treatments for interstitial cystitis?,"Bladder distention (stretching), Medications to relieve bladder pain, Physical therapy, Nerve stimulation"
what are the treatments for atherosclerosis?,"Lifestyle changes such as quitting smoking and eating a healthy diet, Medications to lower cholesterol and blood pressure, Angioplasty or stenting to open up blocked arteries, Surgery to bypass blocked arteries"
what are the treatments for pulmonary fibrosis?,"Medications to reduce inflammation, Oxygen therapy to increase oxygen levels, Pulmonary rehabilitation to improve lung function, Lung transplant in severe cases"
what are the symptoms of ischemic heart disease?,"Chest pain or discomfort, Shortness of breath, Fatigue, Nausea"
what are the treatments for esophageal cancer?,"Surgery to remove the cancer, Radiation therapy, Chemotherapy, Palliative care to manage symptoms in advanced cases"
what are the symptoms of high cholesterol?,"None (usually asymptomatic), Yellowish patches around the eyes, Xanthomas (fatty deposits) on the elbows, knees, and tendons"
what are the symptoms of colorectal cancer?,"Abdominal pain, Blood in the stool, Changes in bowel habits (e.g., diarrhea or constipation), Unintended weight loss, Fatigue"
what are the symptoms of acne?,"Blackheads, Whiteheads, Pimples, Cysts, Nodules"
what are the symptoms of cholera?,"Profuse watery diarrhea, Vomiting, Dehydration"
what are the symptoms of shigellosis?,"Diarrhea (which may be bloody), Fever, Stomach cramps, Nausea, Vomiting"
what are the symptoms of blood clotting disorders?,"Abnormal bleeding, Bruising, Blood in urine or stool, Swelling, Pain, Redness, Warmth in the affected area"
what are the symptoms of hypothyroidism?,"Fatigue, Weight gain, Cold intolerance, Dry skin, Hair loss, Constipation, Depression, Muscle weakness, Joint pain"
what are the symptoms of cardiomyopathy?,"Shortness of breath, Swelling of the legs, ankles, or feet, Fatigue, Irregular heartbeat"
what are the symptoms of encephalitis?,"Fever, Headache, Stiff neck, Confusion, Seizures, Muscle weakness, Personality changes, Loss of consciousness"
what are the symptoms of tetanus?,"Muscle stiffness and spasms, Jaw cramping, Fever, Sweating"
what are the symptoms of toxoplasmosis?,"Flu-like symptoms (such as fever, fatigue, body aches), Swollen lymph nodes, Muscle aches and pains, Headache, Sore throat, Skin rash, Inflammation of the lungs, heart, or eyes (in severe cases)"
what are the symptoms of poliomyelitis?,"Fever, Headache, Nausea, Vomiting, Stiffness in the neck, Muscle weakness or paralysis"
what are the treatments for depression?,"Antidepressant medications, Psychotherapy, Brain stimulation therapies (e.g., electroconvulsive therapy or transcranial magnetic stimulation)"
what are the symptoms of systemic lupus erythematosus?,"Fatigue, Fever, Joint pain, Skin rashes, Chest pain, Shortness of breath, Headaches, Confusion, Memory loss"
what are the symptoms of bronchitis?,"Persistent cough, Mucus production, Wheezing, Shortness of breath, Chest discomfort"
what are the treatments for infectious mononucleosis?,"Rest, Pain relievers, Drinking fluids, Steroids (in severe cases)"
what are the symptoms of leptospirosis?,"Fever, Headache, Muscle aches, Vomiting, Jaundice, Red eyes, Abdominal pain, Diarrhea, Rash, Chills"
what are the treatments for hantavirus pulmonary syndrome?,"Hospitalization, Oxygen therapy, Fluid replacement therapy"
what are the symptoms of hypothyroidism?,"Fatigue, Weight gain, Cold intolerance, Dry skin, Hair loss, Constipation, Depression, Muscle weakness, Joint pain"
what are the symptoms of chronic kidney disease?,"Fatigue, Weakness, Loss of appetite, Swelling in the legs, Difficulty sleeping, Changes in urination (e.g., frequency, color, or smell)"
what are the symptoms of eczema?,"Itchy, red, and dry skin, Thickened, cracked, or scaly skin, Small bumps that may leak fluid, Sensitive skin, Discoloration of the skin"
what are the treatments for hookworm infection?,"Anthelmintic medications, Iron supplements, Intravenous fluids"
what are the treatments for peptic ulcer disease?,"Antibiotics to eliminate H. pylori bacteria, Proton pump inhibitors to reduce stomach acid production, H2 blockers to reduce stomach acid production, Antacids to neutralize stomach acid"
what are the treatments for myocardial infarction?,"Oxygen therapy, Aspirin or other antiplatelet medications, Thrombolytic therapy or percutaneous coronary intervention (PCI) to restore blood flow, Beta blockers, ACE inhibitors, or other medications to prevent future heart attacks, Lifestyle changes such as quitting smoking, eating a healthy diet, and getting regular exercise"
what are the symptoms of trachoma?,"Irritation and redness of the eyes, Swelling of the eyelids, Discharge from the eyes, Sensitivity to light, Blurred vision, Formation of small bumps on the inner surface of the eyelids (in severe cases)"
what are the symptoms of arthritis?,"Joint pain and stiffness, Swelling and redness around the joint, Limited range of motion, Fatigue, Fever"
what are the symptoms of cardiomyopathy?,"Shortness of breath, Swelling of the legs, ankles, or feet, Fatigue, Irregular heartbeat"
what are the treatments for asthma?,"Bronchodilators to open up the airways, Corticosteroids to reduce inflammation, Leukotriene modifiers, Immunomodulators"
what are the symptoms of spinal stenosis?,"Pain or numbness in the legs or arms, Weakness in the legs or arms, Difficulty walking or maintaining balance, Loss of bowel or bladder control"
what are the treatments for rosacea?,"Topical creams and gels, Oral antibiotics, Laser therapy"
what are the symptoms of mitral valve regurgitation?,"Shortness of breath, Fatigue, Heart palpitations, Swelling in the legs or feet, Coughing up blood"
what are the symptoms of hepatitis a?,"Fatigue, Nausea and vomiting, Abdominal pain, Loss of appetite, Dark urine, Joint pain, Jaundice"
